ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ID=\"{67df98f4-9dec-48ff-a553-29bece9c5bf4}\" Type=\"Attachments\" Name=\"Attachments\" DisplayName=\"Attachments\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Attachments\" FromBaseType=\"TRUE\" />","<Field AppendOnly=\"FALSE\" Description=\"\" DisplayName=\"Species \" Format=\"Dropdown\" IsolateStyles=\"TRUE\" Name=\"Species_x0020_\" Required=\"FALSE\" RichText=\"FALSE\" RichTextMode=\"FullHtml\" Title=\"Species \" Type=\"Note\" ID=\"{a4dfbb71-7d43-4c3a-a10a-a87897bbe48f}\" StaticName=\"Species_x0020_\" />","<Field AppendOnly=\"FALSE\" Description=\"\" DisplayName=\"Nestlings \" Format=\"Dropdown\" IsolateStyles=\"TRUE\" Name=\"Nestlings_x0020_\" Required=\"FALSE\" RichText=\"FALSE\" RichTextMode=\"FullHtml\" Title=\"Nestlings \" Type=\"Note\" ID=\"{1ddf1b91-7cb9-49af-90b3-be551362949b}\" StaticName=\"Nestlings_x0020_\" />","<Field AppendOnly=\"FALSE\" Description=\"\" DisplayName=\"Fledged \" Format=\"Dropdown\" IsolateStyles=\"TRUE\" Name=\"Fledged_x0020_\" Required=\"FALSE\" RichText=\"FALSE\" RichTextMode=\"FullHtml\" Title=\"Fledged \" Type=\"Note\" ID=\"{fc94361d-28c3-4a21-a3de-e2692738b4da}\" StaticName=\"Fledged_x0020_\" />","<Field AppendOnly=\"FALSE\" Description=\"\" DisplayName=\"Prior Species \" Format=\"Dropdown\" IsolateStyles=\"TRUE\" Name=\"Prior_x0020_Species_x0020_\" Required=\"FALSE\" RichText=\"FALSE\" RichTextMode=\"FullHtml\" Title=\"Prior Species \" Type=\"Note\" ID=\"{c081e33d-fd1f-4843-bb4f-82e9d4649f7c}\" StaticName=\"Prior_x0020_Species_x0020_\" />","<Field AppendOnly=\"FALSE\" Description=\"\" DisplayName=\"Prior result \" Format=\"Dropdown\" IsolateStyles=\"TRUE\" Name=\"Prior_x0020_result_x0020_\" Required=\"FALSE\" RichText=\"FALSE\" RichTextMode=\"FullHtml\" Title=\"Prior result \" Type=\"Note\" ID=\"{44d4e9eb-cbc0-413d-8283-fe460a1e5a59}\" StaticName=\"Prior_x0020_result_x0020_\" />","<Field AppendOnly=\"FALSE\" Description=\"\" DisplayName=\"Notes \" Format=\"Dropdown\" IsolateStyles=\"TRUE\" Name=\"Notes_x0020_\" Required=\"FALSE\" RichText=\"FALSE\" RichTextMode=\"FullHtml\" Title=\"Notes \" Type=\"Note\" ID=\"{39885f29-d26c-4190-8470-8f79bf2f48b2}\" StaticName=\"Notes_x0020_\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Title\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Title","Species ","Nestlings ","Fledged ","Prior Species ","Prior result ","Notes "
"Box 28","Wren ","6",,"Bluebird ","5 fledged Bluebirds",
"Box 26","Tree Swallow ","6",,"Empty ",,
"Box 24","Wren ",,,,,"I did not see much activity. Didn't see nestlings or eggs."
"Box 23",,,"5","Bluebird ","5 fledged Bluebirds","Put in cup. Removed dummy Wren nest. "
"Box 20 (corner) ","Empty ",,,"Tree Swallow ","5 ","Put in cup, ks d   "
"Box 21 ","Bluebird Nest 0 eggs ",,,,,
"Box 10","Tree Swallow ",,,,,
"Box 11","Tree Swallow ",,,,,
"Box 12","Tree Swallow ",,,,,
"Box 09","Wren ",,,,,"Nest built in cup "
"Box #4","Wren ","6",,,,"Babies packed in "
"Box #3",,,,,,
"Box 13",,,,,,
"Box 13A",,,,,,
